dataset,bin_label,bin_start,bin_end,count,total_count,nan_count,negative_count
EndoVis2018,0.084-0.085,0.084,0.085,377529,125883324,0,0
EndoVis2018,0.085-0.086,0.085,0.08600000000000001,403039,125883324,0,0
EndoVis2018,0.086-0.087,0.08600000000000001,0.08700000000000001,393497,125883324,0,0
EndoVis2018,0.087-0.088,0.08700000000000001,0.088,385073,125883324,0,0
EndoVis2018,0.088-0.089,0.088,0.089,394059,125883324,0,0
EndoVis2018,0.089-0.090,0.089,0.09,374986,125883324,0,0
EndoVis2018,0.090-0.091,0.09,0.091,358090,125883324,0,0
EndoVis2018,0.091-0.092,0.091,0.092,343583,125883324,0,0
EndoVis2018,0.092-0.093,0.092,0.093,325476,125883324,0,0
EndoVis2018,0.093-0.094,0.093,0.094,308003,125883324,0,0
EndoVis2018,0.094-0.095,0.094,0.095,280573,125883324,0,0
EndoVis2018,0.095-0.096,0.095,0.096,234750,125883324,0,0
EndoVis2018,0.096-0.097,0.096,0.097,210881,125883324,0,0
EndoVis2018,0.097-0.098,0.097,0.098,192459,125883324,0,0
EndoVis2018,0.098-0.099,0.098,0.099,172749,125883324,0,0
EndoVis2018,0.099-0.100,0.099,0.1,156632,125883324,0,0
EndoVis2018,0.100-0.101,0.1,0.101,137535,125883324,0,0
EndoVis2018,0.101-0.102,0.101,0.10200000000000001,115584,125883324,0,0
EndoVis2018,0.102-0.103,0.10200000000000001,0.10300000000000001,96244,125883324,0,0
EndoVis2018,0.103-0.104,0.10300000000000001,0.10400000000000001,83727,125883324,0,0
EndoVis2018,0.104-0.105,0.10400000000000001,0.105,74096,125883324,0,0
EndoVis2018,0.105-0.106,0.105,0.106,67028,125883324,0,0
EndoVis2018,0.106-0.107,0.106,0.107,61376,125883324,0,0
EndoVis2018,0.107-0.108,0.107,0.108,55165,125883324,0,0
EndoVis2018,0.108-0.109,0.108,0.109,50441,125883324,0,0
EndoVis2018,0.109-0.110,0.109,0.11,45200,125883324,0,0
EndoVis2018,0.110-0.111,0.11,0.111,43442,125883324,0,0
EndoVis2018,0.111-0.112,0.111,0.112,42208,125883324,0,0
EndoVis2018,0.112-0.113,0.112,0.113,41447,125883324,0,0
EndoVis2018,0.113-0.114,0.113,0.114,37723,125883324,0,0
EndoVis2018,0.114-0.115,0.114,0.115,33709,125883324,0,0
EndoVis2018,0.115-0.116,0.115,0.116,31469,125883324,0,0
EndoVis2018,0.116-0.117,0.116,0.117,29026,125883324,0,0
EndoVis2018,0.117-0.118,0.117,0.11800000000000001,26688,125883324,0,0
EndoVis2018,0.118-0.119,0.11800000000000001,0.11900000000000001,24961,125883324,0,0
EndoVis2018,0.119-0.120,0.11900000000000001,0.12,23210,125883324,0,0
EndoVis2018,0.120-0.121,0.12,0.121,23053,125883324,0,0
EndoVis2018,0.121-0.122,0.121,0.122,24265,125883324,0,0
EndoVis2018,0.122-0.123,0.122,0.123,27323,125883324,0,0
EndoVis2018,0.123-0.124,0.123,0.124,30097,125883324,0,0
EndoVis2018,0.124-0.125,0.124,0.125,33003,125883324,0,0
EndoVis2018,0.125-0.126,0.125,0.126,33949,125883324,0,0
EndoVis2018,0.126-0.127,0.126,0.127,34241,125883324,0,0
EndoVis2018,0.127-0.128,0.127,0.128,33078,125883324,0,0
EndoVis2018,0.128-0.129,0.128,0.129,29460,125883324,0,0
EndoVis2018,0.129-0.130,0.129,0.13,27604,125883324,0,0
EndoVis2018,0.130-0.131,0.13,0.131,25952,125883324,0,0
EndoVis2018,0.131-0.132,0.131,0.132,24225,125883324,0,0
EndoVis2018,0.132-0.133,0.132,0.133,23601,125883324,0,0
EndoVis2018,0.133-0.134,0.133,0.134,23617,125883324,0,0
EndoVis2018,0.134-0.135,0.134,0.135,23426,125883324,0,0
EndoVis2018,0.135-0.136,0.135,0.136,22065,125883324,0,0
EndoVis2018,0.136-0.137,0.136,0.137,19416,125883324,0,0
EndoVis2018,0.137-0.138,0.137,0.138,15500,125883324,0,0
EndoVis2018,0.138-0.139,0.138,0.139,13968,125883324,0,0
EndoVis2018,0.139-0.140,0.139,0.14,13323,125883324,0,0
EndoVis2018,0.140-0.141,0.14,0.14100000000000001,12908,125883324,0,0
EndoVis2018,0.141-0.142,0.14100000000000001,0.14200000000000002,12010,125883324,0,0
EndoVis2018,0.142-0.143,0.14200000000000002,0.14300000000000002,10427,125883324,0,0
EndoVis2018,0.143-0.144,0.14300000000000002,0.14400000000000002,9820,125883324,0,0
EndoVis2018,0.144-0.145,0.14400000000000002,0.145,7035,125883324,0,0
EndoVis2018,0.145-0.146,0.145,0.146,4655,125883324,0,0
EndoVis2018,0.146-0.147,0.146,0.147,4575,125883324,0,0
EndoVis2018,0.147-0.148,0.147,0.148,3406,125883324,0,0
EndoVis2018,0.148-0.149,0.148,0.149,2411,125883324,0,0
EndoVis2018,0.149-0.150,0.149,0.15,1986,125883324,0,0
EndoVis2018,0.150-0.151,0.15,0.151,1830,125883324,0,0
EndoVis2018,0.151-0.152,0.151,0.152,1515,125883324,0,0
EndoVis2018,0.152-0.153,0.152,0.153,1333,125883324,0,0
EndoVis2018,0.153-0.154,0.153,0.154,992,125883324,0,0
EndoVis2018,0.154-0.155,0.154,0.155,830,125883324,0,0
EndoVis2018,0.155-0.156,0.155,0.156,350,125883324,0,0
EndoVis2018,0.156-0.157,0.156,0.157,192,125883324,0,0
EndoVis2018,0.157-0.158,0.157,0.158,154,125883324,0,0
EndoVis2018,0.158-0.159,0.158,0.159,77,125883324,0,0
EndoVis2018,>=0.300,0.3,,0,125883324,0,0
EndoVis2018/EndoVis2018_ISINet_tool,zero,0.0,0.0,83989894,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.004-0.005,0.004,0.005,17,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.005-0.006,0.005,0.006,835528,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.006-0.007,0.006,0.007,3767770,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.007-0.008,0.007,0.008,5981123,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.008-0.009,0.008,0.009000000000000001,6434421,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.009-0.010,0.009000000000000001,0.01,7297776,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.010-0.011,0.01,0.011,6789454,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.011-0.012,0.011,0.012,4484637,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.012-0.013,0.012,0.013000000000000001,3615943,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.013-0.014,0.013000000000000001,0.014,3612039,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.014-0.015,0.014,0.015,4061784,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.015-0.016,0.015,0.016,4917930,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.016-0.017,0.016,0.017,5787197,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.017-0.018,0.017,0.018000000000000002,7457831,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.018-0.019,0.018000000000000002,0.019,8602761,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.019-0.020,0.019,0.02,10413141,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.020-0.021,0.02,0.021,13765690,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.021-0.022,0.021,0.022,19256925,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.022-0.023,0.022,0.023,25900712,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.023-0.024,0.023,0.024,31925899,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.024-0.025,0.024,0.025,35076844,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.025-0.026,0.025,0.026000000000000002,33799891,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.026-0.027,0.026000000000000002,0.027,30084569,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.027-0.028,0.027,0.028,25997698,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.028-0.029,0.028,0.029,23879720,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.029-0.030,0.029,0.03,20714853,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.030-0.031,0.03,0.031,18266762,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.031-0.032,0.031,0.032,16210386,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.032-0.033,0.032,0.033,14517357,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.033-0.034,0.033,0.034,13338839,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.034-0.035,0.034,0.035,12617817,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.035-0.036,0.035,0.036000000000000004,11724015,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.036-0.037,0.036000000000000004,0.037,11099174,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.037-0.038,0.037,0.038,10548767,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.038-0.039,0.038,0.039,9986789,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.039-0.040,0.039,0.04,9402054,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.040-0.041,0.04,0.041,8724005,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.041-0.042,0.041,0.042,8278019,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.042-0.043,0.042,0.043000000000000003,7894312,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.043-0.044,0.043000000000000003,0.044,7684409,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.044-0.045,0.044,0.045,7439424,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.045-0.046,0.045,0.046,7140443,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.046-0.047,0.046,0.047,6911752,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.047-0.048,0.047,0.048,6691926,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.048-0.049,0.048,0.049,6525651,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.049-0.050,0.049,0.05,6349160,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.050-0.051,0.05,0.051000000000000004,6080279,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.051-0.052,0.051000000000000004,0.052000000000000005,5965629,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.052-0.053,0.052000000000000005,0.053,5839625,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.053-0.054,0.053,0.054,5630199,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.054-0.055,0.054,0.055,5493966,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.055-0.056,0.055,0.056,5356747,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.056-0.057,0.056,0.057,5287351,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.057-0.058,0.057,0.058,5256855,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.058-0.059,0.058,0.059000000000000004,5216277,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.059-0.060,0.059000000000000004,0.06,5167751,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.060-0.061,0.06,0.061,5180948,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.061-0.062,0.061,0.062,5178897,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.062-0.063,0.062,0.063,5108656,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.063-0.064,0.063,0.064,5034729,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.064-0.065,0.064,0.065,4992660,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.065-0.066,0.065,0.066,4905713,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.066-0.067,0.066,0.067,4877676,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.067-0.068,0.067,0.068,4810709,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.068-0.069,0.068,0.069,5004228,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.069-0.070,0.069,0.07,4997236,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.070-0.071,0.07,0.07100000000000001,4921274,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.071-0.072,0.07100000000000001,0.07200000000000001,4957735,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.072-0.073,0.07200000000000001,0.073,5076770,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.073-0.074,0.073,0.074,4832680,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.074-0.075,0.074,0.075,4637846,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.075-0.076,0.075,0.076,4482482,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.076-0.077,0.076,0.077,4359568,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.077-0.078,0.077,0.078,4243106,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.078-0.079,0.078,0.079,4131999,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.079-0.080,0.079,0.08,4095965,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.080-0.081,0.08,0.081,4090021,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.081-0.082,0.081,0.082,4071460,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.082-0.083,0.082,0.083,3988751,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.083-0.084,0.083,0.084,3970083,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.084-0.085,0.084,0.085,3915597,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.085-0.086,0.085,0.08600000000000001,3876806,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.086-0.087,0.08600000000000001,0.08700000000000001,3866399,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.087-0.088,0.08700000000000001,0.088,3854573,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.088-0.089,0.088,0.089,3832962,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.089-0.090,0.089,0.09,3744689,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.090-0.091,0.09,0.091,3632598,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.091-0.092,0.091,0.092,3569858,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.092-0.093,0.092,0.093,3582022,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.093-0.094,0.093,0.094,3517610,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.094-0.095,0.094,0.095,3481678,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.095-0.096,0.095,0.096,3434626,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.096-0.097,0.096,0.097,3441615,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.097-0.098,0.097,0.098,3464218,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.098-0.099,0.098,0.099,3385127,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.099-0.100,0.099,0.1,3252241,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.100-0.101,0.1,0.101,3196492,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.101-0.102,0.101,0.10200000000000001,3139566,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.102-0.103,0.10200000000000001,0.10300000000000001,3000033,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.103-0.104,0.10300000000000001,0.10400000000000001,2897983,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.104-0.105,0.10400000000000001,0.105,2827840,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.105-0.106,0.105,0.106,2764707,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.106-0.107,0.106,0.107,2680707,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.107-0.108,0.107,0.108,2610877,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.108-0.109,0.108,0.109,2540311,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.109-0.110,0.109,0.11,2483257,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.110-0.111,0.11,0.111,2451583,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.111-0.112,0.111,0.112,2433729,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.112-0.113,0.112,0.113,2397449,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.113-0.114,0.113,0.114,2362563,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.114-0.115,0.114,0.115,2322981,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.115-0.116,0.115,0.116,2294441,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.116-0.117,0.116,0.117,2256677,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.117-0.118,0.117,0.11800000000000001,2210239,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.118-0.119,0.11800000000000001,0.11900000000000001,2146886,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.119-0.120,0.11900000000000001,0.12,2086402,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.120-0.121,0.12,0.121,2016164,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.121-0.122,0.121,0.122,1979849,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.122-0.123,0.122,0.123,1930313,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.123-0.124,0.123,0.124,1894568,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.124-0.125,0.124,0.125,1853489,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.125-0.126,0.125,0.126,1802650,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.126-0.127,0.126,0.127,1761112,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.127-0.128,0.127,0.128,1743539,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.128-0.129,0.128,0.129,1714605,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.129-0.130,0.129,0.13,1696159,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.130-0.131,0.13,0.131,1673184,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.131-0.132,0.131,0.132,1664036,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.132-0.133,0.132,0.133,1650907,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.133-0.134,0.133,0.134,1643920,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.134-0.135,0.134,0.135,1641115,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.135-0.136,0.135,0.136,1633166,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.136-0.137,0.136,0.137,1632566,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.137-0.138,0.137,0.138,1623886,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.138-0.139,0.138,0.139,1608592,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.139-0.140,0.139,0.14,1610023,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.140-0.141,0.14,0.14100000000000001,1670799,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.141-0.142,0.14100000000000001,0.14200000000000002,1730325,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.142-0.143,0.14200000000000002,0.14300000000000002,1695792,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.143-0.144,0.14300000000000002,0.14400000000000002,1626862,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.144-0.145,0.14400000000000002,0.145,1566138,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.145-0.146,0.145,0.146,1513926,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.146-0.147,0.146,0.147,1463078,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.147-0.148,0.147,0.148,1422771,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.148-0.149,0.148,0.149,1371100,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.149-0.150,0.149,0.15,1322575,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.150-0.151,0.15,0.151,1291017,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.151-0.152,0.151,0.152,1266213,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.152-0.153,0.152,0.153,1248132,1209175676,0,0
EndoVis2018/EndoVis2018_ISINet_tool,0.153-0.154,0.153,0.154,1229877,1209175676,0,0
