dataset,bin_start,bin_end,count
EndoVis2017,0.165000,0.170000,2990327
EndoVis2017,0.170000,0.175000,2338293
EndoVis2017,0.175000,0.180000,1128091
EndoVis2017,0.180000,0.185000,669988
EndoVis2017,0.185000,0.190000,467626
EndoVis2017,0.190000,0.195000,326748
EndoVis2017,0.195000,0.200000,235679
EndoVis2017,0.200000,0.205000,162742
EndoVis2017,0.205000,0.210000,95081
EndoVis2017,0.210000,0.215000,38790
EndoVis2017,0.215000,0.220000,26062
EndoVis2017,0.220000,0.225000,25378
EndoVis2017,0.225000,0.230000,24155
EndoVis2017,0.230000,0.235000,20726
EndoVis2017,0.235000,0.240000,15576
EndoVis2017,0.240000,0.245000,15186
EndoVis2017,0.245000,0.250000,14327
EndoVis2017,0.250000,0.255000,12717
EndoVis2017,0.255000,0.260000,12934
EndoVis2017,0.260000,0.265000,11574
EndoVis2017,0.265000,0.270000,6857
EndoVis2017,0.270000,0.275000,7614
EndoVis2017,0.275000,0.280000,9295
EndoVis2017,0.280000,0.285000,9724
EndoVis2017,0.285000,0.290000,10085
EndoVis2017,0.290000,0.295000,10055
EndoVis2017,0.295000,0.300000,9009
EndoVis2017,0.300000,0.305000,130841
EndoVis2017_eval,0.010000,0.015000,10523
EndoVis2017_eval,0.015000,0.020000,26187
EndoVis2017_eval,0.020000,0.025000,146285
EndoVis2017_eval,0.025000,0.030000,401493
EndoVis2017_eval,0.030000,0.035000,847444
EndoVis2017_eval,0.035000,0.040000,1348657
EndoVis2017_eval,0.040000,0.045000,1813584
EndoVis2017_eval,0.045000,0.050000,2033554
EndoVis2017_eval,0.050000,0.055000,2046033
EndoVis2017_eval,0.055000,0.060000,2620380
EndoVis2017_eval,0.060000,0.065000,4483931
EndoVis2017_eval,0.065000,0.070000,7357957
EndoVis2017_eval,0.070000,0.075000,8335117
EndoVis2017_eval,0.075000,0.080000,8354660
EndoVis2017_eval,0.080000,0.085000,8478095
EndoVis2017_eval,0.085000,0.090000,7892776
EndoVis2017_eval,0.090000,0.095000,7928072
EndoVis2017_eval,0.095000,0.100000,6834422
EndoVis2017_eval,0.100000,0.105000,7558057
EndoVis2017_eval,0.105000,0.110000,10129514
EndoVis2017_eval,0.110000,0.115000,9301339
EndoVis2017_eval,0.115000,0.120000,8344017
EndoVis2017_eval,0.120000,0.125000,7819618
EndoVis2017_eval,0.125000,0.130000,6907644
EndoVis2017_eval,0.130000,0.135000,4440619
EndoVis2017_eval,0.135000,0.140000,1783940
EndoVis2017_eval,0.140000,0.145000,651171
EndoVis2017_eval,0.145000,0.150000,238564
EndoVis2017_eval,0.150000,0.155000,53213
EndoVis2017_eval,0.155000,0.160000,1804
EndoVis2017_eval,0.160000,0.165000,183
EndoVis2017_eval,0.165000,0.170000,1
EndoVis2017_eval,0.170000,0.175000,3
EndoVis2017_train,0.005000,0.010000,1334851
EndoVis2017_train,0.010000,0.015000,936699
EndoVis2017_train,0.015000,0.020000,2217572
EndoVis2017_train,0.020000,0.025000,6608904
EndoVis2017_train,0.025000,0.030000,67514199
EndoVis2017_train,0.030000,0.035000,30787126
EndoVis2017_train,0.035000,0.040000,20511931
EndoVis2017_train,0.040000,0.045000,19225544
EndoVis2017_train,0.045000,0.050000,15686348
EndoVis2017_train,0.050000,0.055000,14714706
EndoVis2017_train,0.055000,0.060000,15029493
EndoVis2017_train,0.060000,0.065000,12373352
EndoVis2017_train,0.065000,0.070000,13800378
EndoVis2017_train,0.070000,0.075000,16256134
EndoVis2017_train,0.075000,0.080000,14329636
EndoVis2017_train,0.080000,0.085000,13879826
EndoVis2017_train,0.085000,0.090000,13404469
EndoVis2017_train,0.090000,0.095000,11089300
EndoVis2017_train,0.095000,0.100000,8781034
EndoVis2017_train,0.100000,0.105000,6384519
EndoVis2017_train,0.105000,0.110000,6529801
EndoVis2017_train,0.110000,0.115000,6900456
EndoVis2017_train,0.115000,0.120000,6250431
EndoVis2017_train,0.120000,0.125000,6069535
EndoVis2017_train,0.125000,0.130000,6290917
EndoVis2017_train,0.130000,0.135000,6357493
EndoVis2017_train,0.135000,0.140000,6689038
EndoVis2017_train,0.140000,0.145000,6396790
EndoVis2017_train,0.145000,0.150000,5734520
EndoVis2017_train,0.150000,0.155000,5148111
EndoVis2017_train,0.155000,0.160000,4683104
EndoVis2017_train,0.160000,0.165000,4313792
EndoVis2017_train,0.165000,0.170000,2990326
EndoVis2017_train,0.170000,0.175000,2338290
EndoVis2017_train,0.175000,0.180000,1128091
EndoVis2017_train,0.180000,0.185000,669988
EndoVis2017_train,0.185000,0.190000,467626
EndoVis2017_train,0.190000,0.195000,326748
EndoVis2017_train,0.195000,0.200000,235679
EndoVis2017_train,0.200000,0.205000,162742
EndoVis2017_train,0.205000,0.210000,95081
EndoVis2017_train,0.210000,0.215000,38790
EndoVis2017_train,0.215000,0.220000,26062
EndoVis2017_train,0.220000,0.225000,25378
EndoVis2017_train,0.225000,0.230000,24155
EndoVis2017_train,0.230000,0.235000,20726
EndoVis2017_train,0.235000,0.240000,15576
EndoVis2017_train,0.240000,0.245000,15186
EndoVis2017_train,0.245000,0.250000,14327
EndoVis2017_train,0.250000,0.255000,12717
EndoVis2017_train,0.255000,0.260000,12934
EndoVis2017_train,0.260000,0.265000,11574
EndoVis2017_train,0.265000,0.270000,6857
EndoVis2017_train,0.270000,0.275000,7614
EndoVis2017_train,0.275000,0.280000,9295
EndoVis2017_train,0.280000,0.285000,9724
EndoVis2017_train,0.285000,0.290000,10085
EndoVis2017_train,0.290000,0.295000,10055
EndoVis2017_train,0.295000,0.300000,9009
EndoVis2017_train,0.300000,0.305000,130841
EndoVis2018,0.005000,0.010000,175978
EndoVis2018,0.010000,0.015000,1309378
EndoVis2018,0.015000,0.020000,1941035
EndoVis2018,0.020000,0.025000,7425171
EndoVis2018,0.025000,0.030000,21240722
EndoVis2018,0.030000,0.035000,22686058
EndoVis2018,0.035000,0.040000,18516705
EndoVis2018,0.040000,0.045000,14314436
EndoVis2018,0.045000,0.050000,11215104
EndoVis2018,0.050000,0.055000,6989952
EndoVis2018,0.055000,0.060000,4069336
EndoVis2018,0.060000,0.065000,2722190
EndoVis2018,0.065000,0.070000,1703008
EndoVis2018,0.070000,0.075000,1431925
EndoVis2018,0.075000,0.080000,1395789
EndoVis2018,0.080000,0.085000,1713914
EndoVis2018,0.085000,0.090000,1950654
EndoVis2018,0.090000,0.095000,1615725
EndoVis2018,0.095000,0.100000,967471
EndoVis2018,0.100000,0.105000,507186
EndoVis2018,0.105000,0.110000,279210
EndoVis2018,0.110000,0.115000,198529
EndoVis2018,0.115000,0.120000,135354
EndoVis2018,0.120000,0.125000,137741
EndoVis2018,0.125000,0.130000,158332
EndoVis2018,0.130000,0.135000,120821
EndoVis2018,0.135000,0.140000,84272
EndoVis2018,0.140000,0.145000,52200
EndoVis2018,0.145000,0.150000,17033
EndoVis2018,0.150000,0.155000,6500
EndoVis2018,0.155000,0.160000,773
Kidney3D,0.000000,0.005000,294742668
Kidney3D,0.005000,0.010000,123524760
Kidney3D,0.010000,0.015000,24953391
Kidney3D,0.015000,0.020000,536861
Kidney3D,0.020000,0.025000,5625
Kidney3D,0.025000,0.030000,473
Kidney3D,0.030000,0.035000,435
Kidney3D,0.035000,0.040000,709
Kidney3D,0.040000,0.045000,416
SCARED,0.000000,0.005000,27110158
SCARED,0.005000,0.010000,21854547
SCARED,0.010000,0.015000,21904279
SCARED,0.015000,0.020000,22859525
SCARED,0.020000,0.025000,25190312
SCARED,0.025000,0.030000,26787193
SCARED,0.030000,0.035000,23730388
SCARED,0.035000,0.040000,16950223
SCARED,0.040000,0.045000,9008527
SCARED,0.045000,0.050000,5809138
SCARED,0.050000,0.055000,2980280
SCARED,0.055000,0.060000,1732690
SCARED,0.060000,0.065000,1162201
SCARED,0.065000,0.070000,617428
SCARED,0.070000,0.075000,301970
SCARED,0.075000,0.080000,148949
SCARED,0.080000,0.085000,13826
SCARED,0.085000,0.090000,637
SCARED,0.090000,0.095000,357
SCARED,0.095000,0.100000,275
SCARED,0.100000,0.105000,230
SCARED,0.105000,0.110000,185
SCARED,0.110000,0.115000,204
SCARED,0.115000,0.120000,151
SCARED,0.120000,0.125000,113
SCARED,0.125000,0.130000,99
SCARED,0.130000,0.135000,76
SCARED,0.135000,0.140000,91
SCARED,0.140000,0.145000,60
SCARED,0.145000,0.150000,44
SCARED,0.150000,0.155000,46
SCARED,0.155000,0.160000,44
SCARED,0.160000,0.165000,71
SCARED,0.165000,0.170000,53
SCARED,0.170000,0.175000,44
SCARED,0.175000,0.180000,42
SCARED,0.180000,0.185000,37
SCARED,0.185000,0.190000,25
SCARED,0.190000,0.195000,23
SCARED,0.195000,0.200000,25
SCARED,0.200000,0.205000,18
SCARED,0.205000,0.210000,16
SCARED,0.210000,0.215000,5
SCARED,0.215000,0.220000,8
SCARED,0.220000,0.225000,9
SCARED,0.225000,0.230000,4
SCARED,0.230000,0.235000,5
SCARED,0.235000,0.240000,13
SCARED,0.240000,0.245000,10
SCARED,0.245000,0.250000,4
SCARED,0.250000,0.255000,5
SCARED,0.255000,0.260000,2
SimCol,0.000000,0.005000,2504979
SimCol,0.005000,0.010000,12135952
SimCol,0.010000,0.015000,47615937
SimCol,0.015000,0.020000,123657297
SimCol,0.020000,0.025000,123297847
SimCol,0.025000,0.030000,121114682
SimCol,0.030000,0.035000,111845022
SimCol,0.035000,0.040000,118849963
SimCol,0.040000,0.045000,77824626
SimCol,0.045000,0.050000,65692522
SimCol,0.050000,0.055000,54772307
SimCol,0.055000,0.060000,55753921
SimCol,0.060000,0.065000,36182591
SimCol,0.065000,0.070000,30036037
SimCol,0.070000,0.075000,25515300
SimCol,0.075000,0.080000,25762189
SimCol,0.080000,0.085000,16786812
SimCol,0.085000,0.090000,14166960
SimCol,0.090000,0.095000,14694504
SimCol,0.095000,0.100000,9456210
SimCol,0.100000,0.105000,7898389
SimCol,0.105000,0.110000,6511991
SimCol,0.110000,0.115000,6516408
SimCol,0.115000,0.120000,3954178
SimCol,0.120000,0.125000,3127233
SimCol,0.125000,0.130000,2479698
SimCol,0.130000,0.135000,2482403
SimCol,0.135000,0.140000,1517864
SimCol,0.140000,0.145000,1206015
SimCol,0.145000,0.150000,968266
SimCol,0.150000,0.155000,898355
SimCol,0.155000,0.160000,526938
SimCol,0.160000,0.165000,423229
SimCol,0.165000,0.170000,430727
SimCol,0.170000,0.175000,283856
SimCol,0.175000,0.180000,237204
SimCol,0.180000,0.185000,197803
SimCol,0.185000,0.190000,203301
SimCol,0.190000,0.195000,130256
SimCol,0.195000,0.200000,102289
SimCol,0.200000,0.205000,83706
SimCol,0.205000,0.210000,86089
SimCol,0.210000,0.215000,53523
SimCol,0.215000,0.220000,34349
SimCol,0.220000,0.225000,25680
SimCol,0.225000,0.230000,23868
SimCol,0.230000,0.235000,14118
SimCol,0.235000,0.240000,11438
SimCol,0.240000,0.245000,9901
SimCol,0.245000,0.250000,4168
SimCol,0.250000,0.255000,2400
SimCol,0.255000,0.260000,1163
SimCol,0.260000,0.265000,1622
SimCol,0.265000,0.270000,891
SimCol,0.270000,0.275000,73
StereoMIS,0.300000,0.305000,1065287454
dVPN,0.010000,0.015000,586868
dVPN,0.015000,0.020000,2569599
dVPN,0.020000,0.025000,4435257
dVPN,0.025000,0.030000,7434776
dVPN,0.030000,0.035000,10370389
dVPN,0.035000,0.040000,14340271
dVPN,0.040000,0.045000,20364954
dVPN,0.045000,0.050000,28729655
dVPN,0.050000,0.055000,37775504
dVPN,0.055000,0.060000,38591305
dVPN,0.060000,0.065000,33804238
dVPN,0.065000,0.070000,30806028
dVPN,0.070000,0.075000,25971809
dVPN,0.075000,0.080000,19399327
dVPN,0.080000,0.085000,17011258
dVPN,0.085000,0.090000,15063524
dVPN,0.090000,0.095000,13268688
dVPN,0.095000,0.100000,11178096
dVPN,0.100000,0.105000,9728989
dVPN,0.105000,0.110000,7356881
dVPN,0.110000,0.115000,4830514
dVPN,0.115000,0.120000,3043828
dVPN,0.120000,0.125000,2286229
dVPN,0.125000,0.130000,1712349
dVPN,0.130000,0.135000,1508638
dVPN,0.135000,0.140000,1498930
dVPN,0.140000,0.145000,1281654
dVPN,0.145000,0.150000,1079690
dVPN,0.150000,0.155000,958364
dVPN,0.155000,0.160000,425893
dVPN,0.160000,0.165000,71440
dVPN,0.165000,0.170000,2045
dVPN,0.170000,0.175000,12
hamlyn,0.005000,0.010000,264
hamlyn,0.010000,0.015000,121364
hamlyn,0.015000,0.020000,1333002
hamlyn,0.020000,0.025000,3352055
hamlyn,0.025000,0.030000,5789058
hamlyn,0.030000,0.035000,4330440
hamlyn,0.035000,0.040000,11633719
hamlyn,0.040000,0.045000,21560122
hamlyn,0.045000,0.050000,30620903
hamlyn,0.050000,0.055000,29585462
hamlyn,0.055000,0.060000,25166640
hamlyn,0.060000,0.065000,21068885
hamlyn,0.065000,0.070000,12442072
hamlyn,0.070000,0.075000,12688931
hamlyn,0.075000,0.080000,14859817
hamlyn,0.080000,0.085000,7909945
hamlyn,0.085000,0.090000,7347136
hamlyn,0.090000,0.095000,10803842
hamlyn,0.095000,0.100000,5854858
hamlyn,0.100000,0.105000,6027848
hamlyn,0.105000,0.110000,4082531
hamlyn,0.110000,0.115000,3202984
hamlyn,0.115000,0.120000,2305180
hamlyn,0.120000,0.125000,2583104
hamlyn,0.125000,0.130000,3646601
hamlyn,0.130000,0.135000,1477959
hamlyn,0.135000,0.140000,2261239
hamlyn,0.140000,0.145000,1636950
hamlyn,0.145000,0.150000,688296
hamlyn,0.150000,0.155000,574088
hamlyn,0.155000,0.160000,723075
hamlyn,0.160000,0.165000,149099
hamlyn,0.165000,0.170000,501172
hamlyn,0.170000,0.175000,380881
hamlyn,0.175000,0.180000,210302
hamlyn,0.180000,0.185000,71059
hamlyn,0.185000,0.190000,136262
hamlyn,0.190000,0.195000,26371
hamlyn,0.195000,0.200000,72548
hamlyn,0.200000,0.205000,23149
hamlyn,0.205000,0.210000,31852
hamlyn,0.210000,0.215000,8335
hamlyn,0.215000,0.220000,32757
hamlyn,0.220000,0.225000,6016
hamlyn,0.225000,0.230000,12606
hamlyn,0.230000,0.235000,8156
hamlyn,0.235000,0.240000,10545
hamlyn,0.240000,0.245000,19136
hamlyn,0.245000,0.250000,4618
hamlyn,0.250000,0.255000,5043
hamlyn,0.255000,0.260000,11032
hamlyn,0.260000,0.265000,9650
hamlyn,0.265000,0.270000,2931
hamlyn,0.270000,0.275000,9615
hamlyn,0.275000,0.280000,9556
hamlyn,0.280000,0.285000,3597
hamlyn,0.285000,0.290000,6002
hamlyn,0.290000,0.295000,10500
hamlyn,0.295000,0.300000,2119
hamlyn,0.300000,0.305000,496
